Country,Same_Sex_Marriage_Score
Zimbabwe,0
Jordan,0
Israel,75
Togo,0
Italy,75
Yemen,0
Jamaica,0
Japan,0
Kazakhstan,0
Laos,0
Bahrain,0
Bahamas,0
Azerbaijan,0
Austria,100
Kiribati,25
Kuwait,0
Ireland,100
Iraq,0
Iran,0
Tonga,0
Trinidad and Tobago,25
Tunisia,25
Turkey,0
Turkmenistan,0
Tuvalu,0
Indonesia,0
India,40
Iceland,100
Hungary,75
Honduras,0
Haiti,25
Guyana,0
Guinea-Bissau,0
Kyrgyzstan,0
Australia,100
Morocco,25
Mexico,100
Marshall Islands,0
Mauritania,0
Mauritius,25
Tajikistan,0
Antigua and Barbuda,25
Angola,0
Andorra,100
Latvia,75
Micronesia (country),25
Moldova,0
Taiwan,100
Syria,0
Monaco,75
Mongolia,0
Malta,100
Mali,0
Maldives,0
Malaysia,0
Tanzania,0
Malawi,0
Argentina,100
Madagascar,0
Luxembourg,100
Lithuania,75
Liechtenstein,100
Libya,0
Liberia,0
Lesotho,0
Armenia,0
Thailand,100
Lebanon,0
Guinea,0
Guatemala,0
Uganda,0
China,75
Chad,0
Chile,100
Vanuatu,0
Belize,25
Belgium,100
Uzbekistan,0
Colombia,100
Grenada,25
Comoros,0
Congo,0
Uruguay,100
United States,100
Costa Rica,100
Belarus,0
Central African Republic,0
Cape Verde,0
Canada,100
Cameroon,0
Venezuela,0
Cambodia,0
Burundi,0
Benin,0
Bhutan,25
Burkina Faso,0
Bulgaria,0
Brunei,0
Vietnam,0
Brazil,100
Bolivia,75
Bosnia and Herzegovina,0
Botswana,25
Ivory Coast,0
Croatia,75
Cuba,100
Eritrea,25
Greenland,100
Greece,100
Ghana,0
Bangladesh,0
Germany,100
Georgia,0
Gambia,0
Gabon,0
France,100
Finland,100
Fiji,0
Ethiopia,0
Swaziland,25
Estonia,100
Ukraine,0
Cyprus,75
UAE,0
Equatorial Guinea,25
El Salvador,0
United Kingdom,100
Egypt,0
Ecuador,100
Barbados,0
East Timor,0
Dominican Republic,0
Dominica,25
Djibouti,25
Denmark,100
DR Congo,0
Czech Republic,75
Montenegro,75
Kenya,0
Algeria,0
Serbia,0
Norway,100
San Marino,75
Sao Tome and Principe,25
Saudi Arabia,0
Macedonia,0
North Korea,0
Senegal,0
Seychelles,25
Afghanistan,0
Nigeria,0
Sierra Leone,0
Niger,25
Nicaragua,0
Singapore,0
New Zealand,100
Slovakia,40
Oman,0
Samoa,25
Netherlands,100
Romania,0
Albania,0
Philippines,0
Zambia,0
Portugal,100
Peru,0
Qatar,0
Paraguay,0
Russia,0
Pakistan,25
Papua New Guinea,25
Rwanda,0
Panama,0
Saint Kitts and Nevis,25
Saint Lucia,25
Palau,0
Saint Vincent and the Grenadines,0
Slovenia,100
Switzerland,100
Poland,40
Sweden,100
Sudan,0
South Korea,50
South Africa,100
Burma,25
Mozambique,0
Nauru,0
Somalia,0
Namibia,50
South Sudan,0
Nepal,25
Suriname,50
Spain,100
Sri Lanka,25
Solomon Islands,0
